rate,votes,location,rest_type,dish_liked,cuisines,approx_cost(for two people),menu_item
3.9/5,230,Banashankari,Delivery,"Raita, Gulab Jamun, Paneer Biryani, Vegetable Biryani, Gosht Dum Biryani, Chicken Biryani, Murgh Biryani",Biryani,650,[]
4.2/5,1647,Banashankari,Casual Dining,"Noodles, Momos, Veg Manchow Soup, Kung Pao Chicken, Chicken Lollipop, Chop Suey, Dragon Chicken","Chinese, Thai, Momos",600,[]
4.4/5,4884,Jayanagar,Casual Dining,"Chicken Tikka Masala, Mutton Keema Dosa, Mutton Biryani, Raan Biryani, Brain Fry, Chicken Grill, Ghee Rice","North Indian, Mughlai, South Indian, Chinese",750,[]
3.8/5,133,Basavanagudi,Quick Bites,"Dabeli, Faluda, Masala Poori, Sandwiches, Tokri Chaat, Pav Bhaji, Dahipuri","Street Food, Fast Food",200,[]
3.9/5,286,Banashankari,Quick Bites,"Burgers, Fries, Hot Chocolate","Burger, Fast Food",500,[]
3.9/5,540,Banashankari,Quick Bites,"Pane Pizza, Lava Cake, Pasta, Stuffed Garlic Bread, Chocolava Cake, Tacos","Pizza, Fast Food",800,[]
4.6/5,2556,Banashankari,"Casual Dining, Cafe","Farmhouse Pizza, Chocolate Banana, Virgin Mojito, Pasta, Paneer Tikka, Lime Soda, Prawn Pizza","Pizza, Cafe, Italian",600,[]
3.8/5,36,Banashankari,Delivery,Prompt Service,"North Indian, Continental, Italian",400,[]
3.6/5,244,Kumaraswamy Layout,Quick Bites,Biryani,"North Indian, Chinese",300,"['3 Poori with Subji', 'Chole Bhature [2 Pieces]', '2 Plain Paratha with Subji', '2 Aloo Paratha with Curd', '2 Paneer Paratha with Curd', '2 Onion Paratha with Curd', '2 Gobi Paratha with Curd', '2 Lachha Paratha with Curd', '4 Ghee Roti with Subji', 'Paneer Roll', 'Veg Roll', 'Aloo Roll', 'Paneer Aloo Roll', 'Veg Paneer Roll', 'Mushroom Paneer Roll', 'Bread Omelette [4 Pieces]', '2 Egg Paratha with Curd', 'Boiled Egg', 'Masala Omelette', 'Egg Roll', 'Double Egg Roll', 'Egg Aloo Roll', 'Egg Paneer Roll', 'Chicken Roll', 'Egg Chicken Roll', 'Tawa Roti', 'Ghee Roti', 'Plain Paratha', 'Laccha Paratha', 'Plain Rice', 'Sweet Lassi', 'Salt Lassi']"
4.0/5,804,Kumaraswamy Layout,Casual Dining,"Butter Chicken, Noodles, Thali, Biryani","North Indian, Chinese, Biryani, Rolls",450,"['Veg Fried Rice', 'Egg Fried Rice', 'Chicken Roll', 'Tawa Roti', 'Jeera Rice', 'Paneer Butter Masala', 'Dal Tadaka', 'Chicken Curry', 'Butter Chicken', 'Gobi Manchurian Dry', 'Aloo Jeera Dry', 'Aloo Gobi Dry', 'Green Peas Fry', 'Channa Fry', 'Bhindi Fry', 'Mixed Veg Dry', 'Paneer Bhurji', 'Paneer Chilli Dry', 'Paneer Manchurian Dry', 'Garlic Paneer Dry', 'Ginger Paneer Dry', 'Dragon Paneer Dry', '1 Boiled Egg', 'Masala Omelette', 'Egg Bhurji', 'Egg Chilli Dry', 'Egg Manchurian Dry', 'Chicken Fry', 'Chicken Ghee Roast', 'Gobi Manchurian Dry', 'Gobi Chilli Dry', 'Aloo Chilli Dry', 'Aloo Manchurian Dry', 'Baby Corn Manchurian Dry', 'Baby Corn Chilli Dry', 'Veg Chilli Dry', 'Veg Manchurian Dry', 'Mushroom Chilli Dry', 'Mushroom Manchurian Dry', 'Boneless Chicken Kabab [6 Pieces]', 'Boneless Lemon Chicken Dry', 'Boneless Chicken 65 Dry', 'Boneless Chicken Manchurian Dry', 'Boneless Chilli Chicken Dry', 'Boneless Pepper Chicken Dry', 'Boneless Garlic Chicken Dry', 'Boneless Schezwan Chicken Dry', 'Boneless Hunan Chicken Dry', 'Boneless Dragon Chicken Dry', 'Matar Paneer', 'Paneer Chilli Gravy', 'Paneer Manchurian Gravy', 'Paneer Butter Masala', 'Paneer Kofta', 'Paneer Kadai', 'Paneer Do Pyaza', 'Paneer Makhanwala', 'Punjabi Paneer', 'Paneer Tikka Gravy', 'Handi Paneer', 'Kaju Paneer', 'Chana Curry', 'Green Peas Masala', 'Aloo Gobi Matar Curry', '. Mixed Veg', 'Veg Kadai', 'Dum Aloo', 'Mushroom Masala', 'Stuffed Capcicum', 'Veg Punjabi', 'Veg Gulla', 'Veg Handi', 'Kaju Masala', 'Dal Fry', 'Dal Tadaka', 'Dal Makhani', 'Chicken Curry', 'Boneless Chicken Curry', 'Kadai Chicken', 'Boneless Kadai Chicken', 'Butter Chicken', 'Boneless Butter Chicken', 'Punjabi Chicken', 'Boneless Punjabi Chicken', 'Chicken Latpat', 'Boneless Chicken Latpat', 'Handi Chicken', 'Boneless Handi Chicken', 'Egg Curry', 'Egg Manchurian Gravy', 'Egg Chilli Gravy', 'Egg Butter Masala', 'Gobi Manchurian Gravy', 'Baby Corn Manchurian Gravy', 'Veg Manchurian Gravy', 'Mushroom Manchurian Gravy', 'Boneless Chiili Chicken Gravy', 'Boneless Chicken Manchurian Gravy', 'Boneless Pepper Chicken Gravy', 'Boneless Lemon Chicken Gravy', 'Boneless Chicken 65 Gravy', 'Boneless Garlic Chicken Gravy', 'Boneless Schezwan Chicken Gravy', 'Tawa Roti', 'Ghee Roti', 'Kulcha', 'Naan', 'Tandoori Butter Roti', 'Butter Kulcha', 'Rumali Roti', 'Stuffed Kulcha', 'Plain Paratha', 'Lachha Paratha', 'Aloo Paratha', 'Gobi Paratha', 'Onion Paratha', 'Paneer Paratha', 'Mixed Veg Paratha', 'Plain Rice', 'Curd Rice', 'Jeera Rice', 'Ghee Rice', 'Tomato Rice', 'Lemon Rice', 'Veg Fried Rice', 'Mushroom Fried Rice', 'Paneer Fried Rice', 'Schezwan Veg Fried Rice', 'Schezwan Egg Fried Rice', 'Egg Fried Rice', 'Schezwan Chicken Fried Rice', 'Chicken Fried Rice', 'Veg Noodles', 'Egg Noodles', 'Chicken Noodles', 'Veg Roll', 'Paneer Roll', 'Egg Roll', 'Chicken Roll', 'Chola Bhatura', 'Puri Sabji', 'Green Salad', 'Mixed Raita', 'Cucumber Raita', 'Roasted Papad', 'Mineral Water [1 litre]', 'Mirinda [750 ml]', '7UP [750 ml]', 'Sweet Lassi', 'Salt Lassi']"
3.7/5,679,Rajarajeshwari Nagar,Casual Dining,"Momos, Dragon Chicken, Hakka Noodles, Chowmein, Chop Suey, Chilli Garlic Noodles, Garlic Rice","Chinese, Thai",850,[]
3.1/5,245,Kumaraswamy Layout,Quick Bites,"Paratha, Pasta","North Indian, Chinese, Momos, Rolls",300,"['Veg Dal Fry', 'Chicken Chaap', 'Dehati Chicken [16 Pieces]', 'Veg Meals', 'Chicken Meals', 'Veg Hot and Sour Soup', 'Veg Manchow soup', 'Chicken Hot and Sour Soup', 'Chicken Manchow Soup', 'Veg Manchurian', 'Gobi Manchurian', 'Gobi Chilly', 'Chicken Pakoda', 'Pepper Chicken', 'Lemon Chicken', 'Garlic Chicken', 'Honey Chicken', 'Chilly Chicken', 'Dragon Chicken', 'Chicken Lolipop', 'Chicken Drumstick', 'Chicken Kabab', 'Chicken Manchurian', 'Chicken 65', 'Dal Fry', 'Dal Tadka', 'Spainach Fry Dal', 'Bhindi Masala', 'Bhindi Fry', 'Veg Kofta', 'Mixed Veg', 'Veg Kolhapuri', 'Chicken Butter Masala', 'Kadai Chicken', 'Chicken Sagwala', 'Chicken Patiyala', 'Chicken Masala', 'Chicken Kasa', 'Chicken Lababdar', 'Chicken Lukhnow', 'Chicken Tikka Masala', 'Chicken Curry', 'Chicken Curry Home Style', 'Chicken Rogan', 'Lachchha Paratha', 'Missi Roti', 'Stuffed Paratha', 'Onion Paratha', 'Gobi Paratha', 'Methi Paratha', 'Tawa Roti', 'Tawa Butter Roti', 'Poori', 'Plain Paratha', 'Chicken Paratha', 'Plain Rice', 'Jeera Rice', 'Ghee Rice', 'Butter Rice', 'Plain Dal Khichadi', 'Dal Khichadi Masala', 'Veg Fried Rice', 'Veg Shezwan Fried Rice', 'Veg Tripple Fried Rice', 'Chicken Fried Rice', 'Chicken Schezwan Fried Rice', 'Chicken Tripple Fried Rice', 'Veg Noodles', 'Veg Schezwan Noodles', 'Singapore Noodles', 'Chicken Noodles', 'Chicken Schezwan Noodles', 'White Sauce Pasta', 'Cheese Red Sauce Pasta', 'Cheese White Sauce Pasta', 'Red Sauce Pasta', 'Chicken White Sauce Pasta', 'Chicken Red sauce Pasta', 'Veg Roll', 'Veg Cheese Roll', 'Chicken Roll', 'Chicken Cheese Roll', 'Chilly Chicken Roll', 'Chicken Keema Roll']"
4.3/5,345,Banashankari,Dessert Parlor,"Hot Chocolate Fudge, Vanilla Ice Cream, Fudge Cake, Chocolate Mousse","Ice Cream, Desserts",400,[]
4.0/5,618,Jayanagar,Casual Dining,"Prawn Biryani, Dragon Chicken, Chicken Boneless Biryani, Afghani Biryani, Mughlai Biryani, Paneer Tikka Biryani, Gongura Biryani","Biryani, North Indian, Chinese, Andhra, South Indian",750,[]
4.0/5,1047,Banashankari,Quick Bites,"Pasta, Momos, Rolls, Chicken Roll, Chilli Chicken, Paneer Roll, Spaghetti","Italian, Continental, Fast Food, Chinese, Momos",450,[]
3.9/5,627,Banashankari,Delivery,"Salads, Sandwiches, Salad, Thai Rice, Pasta, Noodles, Pizza","Healthy Food, Chinese, Biryani, North Indian, Continental, Salad, American, Burger",450,"[""Egg 'n' Chicken Ham Breakwich"", 'Maple Pancakes', 'Muesli Fruit Yogurt Parfait', 'Egg Paratha Wrap', 'Spinach Corn Sandwich', ""Masala Omelette 'n' Garlic Bread"", 'Choco-Strawberry Ripple Cake Slice', 'Irish Coffee Bourbon Cake Slice', 'Mango Smoothie Bowl', 'Choco-Strawberry Ripple Cake Slice', 'Irish Coffee Bourbon Cake Slice']"
4.2/5,354,Banashankari,Casual Dining,"Sushi, Noodles, Wine, Khau Suey, Mocktails, Yakisoba, Spring Roll","Asian, Korean, Indonesian, Japanese, Chinese, Thai, Momos",800,[]
4.2/5,244,Banashankari,Casual Dining,"Pasta, Pepper Pizza, Paneer Pizza, Peppy Paneer, Nachos, Supreme Pizza, Manchow Soup","Italian, North Indian, Mexican",800,[]
3.6/5,163,Kumaraswamy Layout,Casual Dining,"Sea Food, Crab Meat, Crab Soup, Fish Curry, Chicken Cafreal, Butter Naan, Butter Chicken","Goan, Seafood, North Indian, Chinese, Biryani",800,[]
4.0/5,808,Banashankari,Casual Dining,"Salads, Panneer Butter Masala, Rabri, Gajar Ka Halwa, Manchow Soup, Aam Panna, Tomato Basil Soup","North Indian, Chinese",850,[]
4.1/5,1720,Basavanagudi,Quick Bites,"Grape Juice, Chicken Grill, Chicken Tikka Roll, Shawarma Roll, Chicken Shawarama, Biryani Combo, Rolls","North Indian, Kebab, Chinese, Fast Food",400,[]
4.1/5,868,Banashankari,Pub,"Beer, Wedges, Pizza, Nachos, Salads, Papaya Salad, Buffalo Wings","Continental, Italian, Mexican, North Indian, Chinese, Steak","1,200",[]
4.1/5,520,Banashankari,Quick Bites,"Vegetable Biryani, Ginger Chicken, Chicken Biryani, Donne Biryani, Chicken Kebab, Egg Bhurji, Dum Biryani","Biryani, Chinese, Kebab",300,[]
3.6/5,299,Banashankari,Quick Bites,"Rolls, Momos, Fries, Veggie Roll, Chicken Kebab Roll, Paneer Roll, Cheese Roll","Fast Food, Rolls, Momos",300,[]
4.1/5,558,Basavanagudi,Quick Bites,"Benne Dosa, Mirchi Bajji, Filter Coffee, Poha, Tea, Butter Dosa, Crispy Dosa",South Indian,150,"['Benne Dose', 'Benne Kali Dose', 'Open Dose', 'Kali Dose', 'Paddu', 'Benne Dose', 'Benne Kali Dose', 'Open Dose', 'Kali Dose', 'Paddu']"
3.8/5,39,Banashankari,Quick Bites,Masala Dosa,"South Indian, Chinese, North Indian",350,[]
4.2/5,146,Banashankari,Beverage Shop,"Berryblast, Waffles, Cheesecake, Salted Caramel","Beverages, Desserts, Ice Cream",400,[]
4.4/5,4401,Jayanagar,Casual Dining,"Chicken Boneless Biryani, Hyderabadi Biryani, Paneer Biryani, Tandoori Chicken, Vegetable Biryani, Chicken Kebab, Raita","Biryani, North Indian, Chinese",600,[]
2.6/5,283,Banashankari,Casual Dining,"Biryani, Chicken Guntur, Thali, Buttermilk, Manchurian",North Indian,600,[]
3.3/5,62,Banashankari,Bar,Chilli Chicken,"South Indian, North Indian, Chinese",800,[]
3.7/5,65,Banashankari,Quick Bites,"Panipuri, Chaat, Noodles, Dahi Bhalle","Fast Food, Street Food",300,[]
3.8/5,71,Basavanagudi,Dessert Parlor,Hot Chocolate Fudge,"Ice Cream, Desserts, Beverages, Sandwich",400,[]
3.5/5,52,Banashankari,Quick Bites,Rooftop Ambience,South Indian,300,[]
3.7/5,130,Banashankari,Quick Bites,"Coffee, Tea, Kesari Bath, Open Dosa, Vada, Idli, Bread Dosa",South Indian,200,[]
3.8 /5,45,Banashankari,"Takeaway, Delivery","Cup Cake, Chocolate Cake",Bakery,400,[]
4.1/5,201,Banashankari,Quick Bites,"Masala Dosa, Tirupathi Pongal, Filter Coffee, Vada, Kharabath, Kali Dosa, Rava Idli","South Indian, North Indian, Chinese, Street Food",300,"['Open Butter Masala Dosa', 'Rice Bath', 'Masala Dosa', 'Plain Dosa', 'Set Dosa', 'Open Butter Masala Dosa', 'Special Dosa of the Day', 'Kaali Dosa', 'Butter Plain Dosa', 'Butter Kaali Dosa', 'Onion Dosa', 'Khara Bath', 'Chow Chow Bath', 'Rice Bath', 'Shavige Bath', '2 Idli', 'Thatte Idli', 'Rava Idli', '1 Vada', '1 Idli 1 Vada', 'Idli Vada', 'Idli', 'Tirupati Pongal', 'Kali Dosa [2 pieces]', 'Poori', 'Coffee', 'Tea', 'Ginger Coffee', 'Badam Milk', 'Lemon Tea', 'Green Tea', 'Lemon Honey Tea']"
4.0/5,771,Banashankari,Casual Dining,"Panner Tikka, Kulfi, Coffee, Pav Bhaji, Carrot Halwa, Fried Rice, Set Dosa","South Indian, North Indian, Chinese",450,"['Vada', 'Ghee Masala Dosa', 'Onion Dosa', 'Rava Dosa', 'Open Butter Masala', 'Neer Dosa', 'Gud Bud Special', 'Ghee Masala Dosa', 'Ghee Plain Dosa', '2 Set Dosa', 'Onion Dosa', 'Rava Dosa', 'Open Butter Masala', 'Neer Dosa', '2 Akki Roti', '2 Idly', 'Vada', 'Rava Idly', 'Kesari Bhath', 'Khara Bhath', 'Chow Chow Bhath', '2 Poori', 'Dahi Vada', 'Rice Bhath', 'Bun', 'Coffee', 'Tea', 'Badam Milk', 'Butterscotch Ice Cream [1 Scoop]', 'Pista Ice Cream [1 Scoop]', 'Mango Ice Cream [1 Scoop]', 'Strawberry Ice Cream [1 Scoop]', 'Chocolate Ice Cream [1 Scoop]', 'Vanilla Ice Cream [1 Scoop]', 'Blackcurrant Ice Cream [1 Scoop]', 'Arabian Fantasy Ice Cream [1 Scoop]', 'Fruit Punch Ice Cream [1 Scoop]', 'Gud Bud Special', 'Chocolate Sundae', 'Golden Cherry', 'Double Sundae', 'Hot Chocolate Fudge', 'Royal Falooda', 'Kesar Falooda', 'Gulab Jamun', 'Carrot Halwa', 'Kashi Halwa', 'Mosambi Juice', 'Grape Juice', 'Pineapple Juice', 'Watermelon Juice', 'Muskmelon Juice', 'Pudina Lime Juice', 'Apple Milkshake', 'Chikoo Milkshake', 'Ice Cream Milkshake']"
3.0/5,98,Banashankari,Bar,"Paneer Tikka, Dal Kichadi, French Fries","North Indian, Chinese",800,[]
4.1/5,175,Jayanagar,Casual Dining,"Filter Coffee, Masala Dosa, Idli, Vada","South Indian, North Indian, Chinese, Beverages",500,"['Idili [2 pieces] with Vada [1 Piece]', 'Poori Sagu', 'BUNS [2 Pieces]', 'Masala Dosa', 'Butter Masala Dosa', 'Panner Masala Dosa', 'Cheese Masala Dosa', 'Paper Masala Dosa', 'Set Dosa', 'Onion Dosa', 'Rava Onion Dosa', 'Mysore Masala Dosa', 'Sri Udupi Special Dosa', 'Veg Grilled Sandwich', 'Idli [2 Pieces]', 'Idli Vada [Single]', 'Vada [1 Piece]', 'Idili [2 pieces] with Vada [1 Piece]', 'Rava Idli', 'Kharabath', 'Kesaribath', 'Chow Chow Bath', 'Rice Bath', 'Poori Sagu', 'Pongal', 'Curd Vada', 'BUNS [2 Pieces]', 'Plain Dosa', 'Butter Plain Dosa', 'Panner Plain Dosa', 'Cheese Plain Dosa', 'Paper Plain Dosa', 'Masala Dosa', 'Butter Masala Dosa', 'Panner Masala Dosa', 'Cheese Masala Dosa', 'Paper Masala Dosa', 'Set Dosa', 'Khali Dosa', 'Khali Butter Dosa', 'Onion Dosa', 'Rava Dosa', 'Rava Onion Dosa', 'Rava Masala Dosa', 'Rava Onion Masala Dosa', 'Open Butter Masala Dosa', 'Mysore Masala Dosa', 'Sri Udupi Special Dosa', 'Bread Butter Toast', 'Jam Bread Butter', 'Gulkand Bread Butter', 'Sri Udupi Special Sandwich', 'Veg Grilled Sandwich', 'Veg Cheese Grilled Sandwich', 'Cheese Toast Grilled Sandwich', 'Veg Panner Grilled Sandwich', 'Panner Toast Grilled Sandwich', 'Veg Cheese Panner Grilled Sandwich', 'Veg Mushroom Grilled Sandwich', 'Tea', 'Coffee', 'Ginger Coffee', 'Lemon Tea', 'Green Tea', 'Badam Milk', 'Horlicks', 'Bournvita', 'Jamoon', 'Carrot Halwa', 'Fruit Salad', 'Cut Fruit', 'Fruit Salad with Gelly', 'Fruit Salad with Vanilla Ice Cream', 'Fruit Salad with Gelly Ice Cream', 'Jelly with Vanilla Ice Cream', 'Gud Bud Ice Cream', 'Falooda Ice Cream', 'Special Falooda Ice Cream', 'Sri Udupi Special Ice Cream', 'Nut Sundae Ice Cream', 'Vanila Nut Sundae Ice Cream', 'Chocolate Nut Sundae Ice Cream', 'Raja Rani Ice Cream', 'Titanic Special Ice Cream', 'Honeymoon Special Ice Cream', 'Fruit Sundae Ice Cream', 'Vanila Ice Cream', 'Strawberry Ice Cream', 'Chocolate Ice Cream', 'Mango Ice Cream', 'Pista Ice Cream', 'Butter Scoch Ice Cream', 'Fig And Honey Ice Cream', 'Blackcurrant Ice Cream', 'Chocolate Shake', 'Strawberry Shake', 'Cold Coffee', 'Cold Badam Shake', 'Rose Milk', 'Pista Shake', 'Vanila Shake', 'Buter Scotch Shake', 'Blackcurrant Shake', 'Sapota Shake With Ice Cream', 'Dry Fruit Milksahke', 'Fresh Lime Soda', 'Pudina Lime Soda', 'Ginger Lime Soda', 'Masala Soda', 'Apple Shake', 'Sapota Shake', 'Pomegranate Shake', 'Muskmelon Shake', 'Butter Milk', 'Sweet Lassi', 'Salt Lassi', 'Khaara Lassi', 'Special Lassi', 'Dry Fruit Lassi', 'Mosambi Juice', 'Orange Juice', 'Pineapple Juice', 'Ganga Jamuna', 'Cocktail Juice', 'Muskmelon Juice', 'Lime Juice', 'Pudina Lime Juice', 'Grapes Juice', 'Orange Solid', 'Moosumbi Solid']"
3.8/5,540,Basavanagudi,Casual Dining,"Rolls, Shawarma, Butter Chicken, Mutton Biryani, Lahori Chicken, Chicken Roll, Grape Juice","North Indian, Kebab, Biryani, Chinese",650,[]
3.8/5,124,Kumaraswamy Layout,Quick Bites,"Rolls, Paratha, Chicken Biryani","Chinese, North Indian, Mughlai, Rolls",400,[]
4.1/5,340,Banashankari,"Takeaway, Delivery","Paratha, Mughlai Chicken, Masala Lemonade, Butter Chicken, Rajma, Sandwich, Salad","North Indian, Mughlai, Fast Food",500,[]
3.8/5,505,Banashankari,Quick Bites,"Burgers, French Fries","Burger, Fast Food",450,[]
4.1/5,438,Jayanagar,Dessert Parlor,"Rolls, Ice Cream Roll, Paan Ice Cream, Coffee, Vanilla Ice Cream, Chocolate Icecreams, Mississippi Mudpie","Desserts, Ice Cream, Beverages, Fast Food, Sandwich",500,[]
3.7/5,264,Mysore Road,Casual Dining,"Kadhai Paneer, Ghee Rice, Chicken Grill, Shawarma, Paratha, Biryani, Butter Chicken","North Indian, Chinese, Biryani, Beverages",750,[]
3.7/5,97,Jayanagar,Quick Bites,"Chicken Biryani, Rolls","North Indian, Mughlai, Chinese",350,[]
3.6/5,195,Jayanagar,Casual Dining,"Roast Pork, Tai Pai Chicken, Beer, Sweet Corn Chicken Soup, Masala Peanuts, Chinese Chop Suey, Chicken Lollipop","Chinese, Seafood, Biryani",800,[]
